"model","vars","test_acc","RMSE","SEE","MAD"
"nonlinear","FBDL",0.963636363636364,4.59354077612213,4.63587845246248,3.64026526960309
"nonlinear","FDB",0.956521739130435,8.71599318791561,8.79278756324489,8.80202168712045
"nonlinear","FDL",0.963302752293578,4.53224501874446,4.57440634540958,4.58535402977625
"nonlinear","FMSB",0.963302752293578,8.32708494606121,8.40454786943076,8.69318042657968
"nonlinear","HDB",0.933962264150943,8.32817599389767,8.4078732738367,8.46359461516022
"nonlinear","HDL",0.96969696969697,4.19173595435118,4.23472924290465,4.34281442163504
"nonlinear","HMSB",0.933333333333333,11.305589914366,11.414825204272,10.4323987940325
"nonlinear","HPB",0.955555555555556,8.14171723797837,8.23371696308944,7.1009279030112
"nonlinear","lower",0.952830188679245,4.26619216791944,4.30701790355825,3.64671766083627
"nonlinear","RDL",0.97029702970297,4.54279947344626,4.58845689676141,4.47007038451888
"nonlinear","RMSB",0.94,12.2715481094589,12.3961355483648,11.5963112901977
"nonlinear","RPB",0.902912621359223,8.85510938330271,8.94235394707765,8.88271188817951
"nonlinear","TDL",0.962962962962963,4.76179877628128,4.8065114828306,4.04390320831588
"nonlinear","TMSB",0.944954128440367,9.26487492378489,9.35106166270955,8.17277680895954
"nonlinear","TPB",0.93859649122807,8.32632556084298,8.40033879915544,7.81944742757316
"nonlinear","UDL",0.961165048543689,4.64610690950614,4.69188246721251,4.00623876077716
"nonlinear","UMSB",0.96039603960396,16.4849113864829,16.6505930508146,18.4687071668706
"nonlinear","upper",0.979381443298969,4.05698293103619,4.09946558617705,3.90580411454992
