"model","vars","test_acc","RMSE","SEE","MAD"
"linear","FDL",0.972477064220184,5.0950548370946,5.14245171667084,5.6836379156838
"linear","FMSB",0.972477064220184,9.10714715214153,9.19186662438557,8.47234914892072
"linear","FDB",0.939130434782609,9.15401875543417,9.23467246143416,9.10913806066959
"linear","TDL",0.972222222222222,5.66399032866632,5.71717450325289,5.69501672213572
"linear","TPB",0.947368421052632,9.86438440415758,9.95206954550541,9.56029369145798
"linear","TMSB",0.972477064220184,9.11024449728824,9.19499278266573,10.4388698766481
"linear","TDB",0.956140350877193,10.2996456803627,10.3911998869216,9.45030552929067
"linear","FBDL",0.963636363636364,5.34656892893155,5.39584710362875,4.57312277191378
"linear","HDL",0.939393939393939,5.31741508888134,5.37195410654955,6.03352717733157
"linear","HPB",0.966666666666667,8.22293032891371,8.31584774519766,8.97410161227838
"linear","HMSB",0.980952380952381,11.595700422296,11.7077387773829,10.4176318831282
"linear","HDB",0.933962264150943,9.75055212760799,9.84386097255117,8.65380663152932
"linear","RDL",0.99009900990099,6.11303058144671,6.17446961846057,6.50859324295472
"linear","RPB",0.970873786407767,9.96349320467339,10.0616580698026,9.28376468342009
"linear","RMSB",0.96,12.7805882397291,12.9103437312364,11.5754054545969
"linear","RDB",0.924528301886792,12.3980402541049,12.5166844909163,12.9222910786275
"linear","UDL",0.980582524271845,5.66698669201279,5.7228204214973,6.00618670113017
"linear","UMSB",0.97029702970297,16.0787194797163,16.2403187107504,16.6942447530153
"linear","upper",0.958762886597938,5.3848852674239,5.441273038257,5.37558000245796
"linear","lower",0.971698113207547,4.96060429247131,5.00807527162132,5.14963097489296
"linear","FDB, FBDL, HDL",0.94949494949495,4.76884750857141,4.81776004486575,4.90056572416023
"nonlinear","FBDL",0.963636363636364,4.59354077612213,4.63587845246248,3.64026526960309
"nonlinear","FDB",0.956521739130435,8.71599318791561,8.79278756324489,8.80202168712045
"nonlinear","FDL",0.963302752293578,4.53224501874446,4.57440634540958,4.58535402977625
"nonlinear","FMSB",0.963302752293578,8.32708494606121,8.40454786943076,8.69318042657968
"nonlinear","HDB",0.933962264150943,8.32817599389767,8.4078732738367,8.46359461516022
"nonlinear","HDL",0.96969696969697,4.19173595435118,4.23472924290465,4.34281442163504
"nonlinear","HMSB",0.933333333333333,11.305589914366,11.414825204272,10.4323987940325
"nonlinear","HPB",0.955555555555556,8.14171723797837,8.23371696308944,7.1009279030112
"nonlinear","lower",0.952830188679245,4.26619216791944,4.30701790355825,3.64671766083627
"nonlinear","RDL",0.97029702970297,4.54279947344626,4.58845689676141,4.47007038451888
"nonlinear","RMSB",0.94,12.2715481094589,12.3961355483648,11.5963112901977
"nonlinear","RPB",0.902912621359223,8.85510938330271,8.94235394707765,8.88271188817951
"nonlinear","TDL",0.962962962962963,4.76179877628128,4.8065114828306,4.04390320831588
"nonlinear","TMSB",0.944954128440367,9.26487492378489,9.35106166270955,8.17277680895954
"nonlinear","TPB",0.93859649122807,8.32632556084298,8.40033879915544,7.81944742757316
"nonlinear","UDL",0.961165048543689,4.64610690950614,4.69188246721251,4.00623876077716
"nonlinear","UMSB",0.96039603960396,16.4849113864829,16.6505930508146,18.4687071668706
"nonlinear","upper",0.979381443298969,4.05698293103619,4.09946558617705,3.90580411454992
