"model","vars","test_acc","RMSE","SEE","MAD"
"nonlinear","FBDL",0.972602739726027,3.85944413744753,3.91342499870674,3.43175566441732
"nonlinear","FDB",0.960526315789474,7.41143545582599,7.51092226244686,5.04220500426164
"nonlinear","FDL",0.957746478873239,3.99880913531588,4.05634891438081,3.01563169228666
"nonlinear","FMSB",0.971830985915493,8.1277163160663,8.24466788472173,7.10593033067438
"nonlinear","HDB",0.972602739726027,5.75189995356837,5.83235001381352,4.02430751768006
"nonlinear","HDL",0.956521739130435,4.46945406598263,4.53567180711928,4.13834398637691
"nonlinear","HMSB",0.957746478873239,10.1379898274491,10.2838676813536,7.96658766525715
"nonlinear","HPB",0.964912280701754,6.71386149645766,6.83484170600255,4.83828592870263
"nonlinear","lower",0.957746478873239,3.81602799246067,3.87093769186407,3.09046571358512
"nonlinear","RDL",0.985294117647059,4.27001220834654,4.3342265215396,4.1936174684292
"nonlinear","RMSB",0.915492957746479,13.6500901842563,13.8465044533151,11.9745089362436
"nonlinear","RPB",0.930555555555556,8.09238872111489,8.20718011028077,6.13770548542095
"nonlinear","TDL",0.945205479452055,3.83923253291801,3.89293070066461,3.21004832645476
"nonlinear","TMSB",0.917808219178082,9.89318145414633,10.0315543483947,8.04081210400623
"nonlinear","TPB",0.935064935064935,7.77389945104855,7.87686949320688,6.59662855295413
"nonlinear","UDL",0.970588235294118,3.97582397058632,4.03561415225106,3.98420458618591
"nonlinear","UMSB",0.941176470588235,17.5936079581672,17.8581883379173,17.7325723501095
"nonlinear","upper",0.984615384615385,4.04772925512852,4.111476944652,3.81248828865648
