"model","vars","test_acc","RMSE","SEE","MAD"
"linear","FDL",0.943661971830986,4.63324667339467,4.69991551927331,4.6023583977469
"linear","FMSB",0.957746478873239,8.6248164860575,8.74892094273198,7.80793892365489
"linear","FDB",0.960526315789474,7.47518655691772,7.57552912130697,6.06274467884455
"linear","TDL",0.972602739726027,4.66427748781338,4.72951530626012,5.06029191134963
"linear","TPB",0.935064935064935,8.50949570776917,8.6222091712366,5.91382575937192
"linear","TMSB",0.931506849315068,10.4303029442392,10.5761883920066,7.43037470692112
"linear","TDB",0.948051948051948,8.70699705483169,8.8223265441638,5.4052357048023
"linear","FBDL",0.972602739726027,4.35012823962122,4.41097214889932,4.56347715066145
"linear","HDL",0.956521739130435,5.37150477591224,5.45108695922022,4.97018389588652
"linear","HPB",0.964912280701754,6.69981625588733,6.82054337767517,4.98323438562497
"linear","HMSB",0.957746478873239,10.6684260328515,10.8219364546117,9.44831457127749
"linear","HDB",0.972602739726027,6.01725063103062,6.10141206980465,4.95875457464378
"linear","RDL",0.955882352941177,5.01822381829698,5.09369006528126,4.24478073331265
"linear","RPB",0.916666666666667,9.31280535784913,9.44490848597366,6.87178780064176
"linear","RMSB",0.929577464788732,14.3462847338076,14.5527167054402,14.1641231954468
"linear","RDB",0.972972972972973,9.01257808679552,9.13689538129111,7.48880344529687
"linear","UDL",0.970588235294118,4.45031716390858,4.51724298196902,4.35919560183135
"linear","UMSB",0.955882352941177,18.1941924586014,18.4678046910319,18.4386759387353
"linear","upper",0.969230769230769,4.71995685862,4.7942914609174,4.77808832683432
"linear","lower",0.929577464788732,4.53992591304824,4.60525194516638,4.6596836806376
"linear","HDL",0.956521739130435,5.37150477591224,5.45108695922022,4.97018389588652
