"model","vars","test_acc","RMSE","SEE","MAD"
"linear","FDL",0.972477064220184,5.0950548370946,5.14245171667084,5.6836379156838
"linear","FMSB",0.972477064220184,9.10714715214153,9.19186662438557,8.47234914892072
"linear","FDB",0.939130434782609,9.15401875543417,9.23467246143416,9.10913806066959
"linear","TDL",0.972222222222222,5.66399032866632,5.71717450325289,5.69501672213572
"linear","TPB",0.947368421052632,9.86438440415758,9.95206954550541,9.56029369145798
"linear","TMSB",0.972477064220184,9.11024449728824,9.19499278266573,10.4388698766481
"linear","TDB",0.956140350877193,10.2996456803627,10.3911998869216,9.45030552929067
"linear","FBDL",0.963636363636364,5.34656892893155,5.39584710362875,4.57312277191378
"linear","HDL",0.939393939393939,5.31741508888134,5.37195410654955,6.03352717733157
"linear","HPB",0.966666666666667,8.22293032891371,8.31584774519766,8.97410161227838
"linear","HMSB",0.980952380952381,11.595700422296,11.7077387773829,10.4176318831282
"linear","HDB",0.933962264150943,9.75055212760799,9.84386097255117,8.65380663152932
"linear","RDL",0.99009900990099,6.11303058144671,6.17446961846057,6.50859324295472
"linear","RPB",0.970873786407767,9.96349320467339,10.0616580698026,9.28376468342009
"linear","RMSB",0.96,12.7805882397291,12.9103437312364,11.5754054545969
"linear","RDB",0.924528301886792,12.3980402541049,12.5166844909163,12.9222910786275
"linear","UDL",0.980582524271845,5.66698669201279,5.7228204214973,6.00618670113017
"linear","UMSB",0.97029702970297,16.0787194797163,16.2403187107504,16.6942447530153
"linear","upper",0.958762886597938,5.3848852674239,5.441273038257,5.37558000245796
"linear","lower",0.971698113207547,4.96060429247131,5.00807527162132,5.14963097489296
"linear","FDB, FBDL, HDL",0.94949494949495,4.76884750857141,4.81776004486575,4.90056572416023
